Age,Attrition,BusinessTravel,Department,DistanceFromHome,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,YearsAtCompany
27,Yes,Travel_Rarely,Research & Development,17,Life Sciences,4,Female,3,1,Research Scientist,3,2394,1,Yes,13,3,8
31,Yes,Travel_Rarely,Human Resources,18,Human Resources,4,Male,4,1,Human Resources,1,2956,0,No,17,3,1
56,Yes,Travel_Rarely,Research & Development,7,Technical Degree,4,Male,3,1,Laboratory Technician,3,2339,8,No,11,3,10
33,Yes,Travel_Rarely,Research & Development,14,Medical,3,Male,3,1,Laboratory Technician,4,2436,5,Yes,13,3,5
37,Yes,Travel_Rarely,Research & Development,11,Medical,1,Female,1,2,Healthcare Representative,2,4777,5,No,15,3,1
33,Yes,Travel_Rarely,Research & Development,15,Medical,2,Male,3,3,Manager,3,13610,7,Yes,12,3,7
37,No,Travel_Rarely,Research & Development,4,Life Sciences,3,Male,3,1,Research Scientist,3,2996,7,Yes,15,3,6
30,Yes,Travel_Rarely,Sales,1,Life Sciences,2,Male,2,2,Sales Executive,1,9714,1,No,11,3,10
24,No,Travel_Rarely,Research & Development,29,Medical,2,Male,3,1,Laboratory Technician,1,3907,1,No,13,3,6
42,Yes,Travel_Frequently,Research & Development,19,Medical,3,Male,4,1,Research Scientist,3,2759,6,Yes,12,3,2
38,No,Travel_Frequently,Research & Development,1,Life Sciences,4,Male,3,2,Research Scientist,4,4735,7,No,15,3,13
31,No,Travel_Rarely,Research & Development,7,Medical,2,Female,3,2,Manufacturing Director,1,4306,1,No,12,3,13
23,Yes,Travel_Frequently,Sales,9,Marketing,4,Male,3,1,Sales Representative,1,1790,1,No,19,3,1
28,Yes,Travel_Rarely,Research & Development,24,Life Sciences,3,Male,2,1,Laboratory Technician,3,2028,5,Yes,14,3,4
34,No,Travel_Frequently,Sales,2,Marketing,3,Female,3,1,Sales Representative,3,2231,6,No,18,3,4
33,No,Non-Travel,Sales,8,Life Sciences,2,Female,2,1,Sales Representative,4,2342,0,No,19,3,2
31,Yes,Travel_Frequently,Research & Development,1,Life Sciences,3,Female,4,3,Manufacturing Director,2,7446,1,No,11,3,10
25,No,Travel_Rarely,Research & Development,2,Medical,1,Male,4,1,Research Scientist,1,3424,7,No,13,3,4
50,Yes,Travel_Frequently,Sales,1,Other,4,Male,3,2,Sales Executive,3,4728,3,Yes,14,3,0
37,No,Travel_Rarely,Research & Development,3,Other,3,Male,3,3,Manufacturing Director,3,9434,1,No,15,3,10
27,No,Travel_Rarely,Research & Development,5,Life Sciences,3,Female,3,1,Research Scientist,2,2478,1,Yes,12,3,4
21,Yes,Travel_Rarely,Sales,12,Life Sciences,3,Female,4,1,Sales Representative,2,2716,1,No,15,3,1
37,Yes,Travel_Rarely,Research & Development,2,Other,4,Male,2,1,Laboratory Technician,3,2090,6,Yes,15,3,0
45,No,Travel_Rarely,Research & Development,29,Medical,3,Male,3,1,Research Scientist,4,3452,5,No,13,3,6
45,Yes,Travel_Frequently,Sales,26,Life Sciences,1,Female,3,2,Sales Executive,1,4286,2,No,14,3,1
30,No,Travel_Rarely,Sales,10,Marketing,3,Male,2,2,Sales Executive,3,6578,1,No,18,3,10
29,No,Travel_Rarely,Sales,10,Life Sciences,3,Male,3,1,Sales Representative,3,2642,1,No,11,3,1
31,Yes,Travel_Rarely,Research & Development,8,Life Sciences,1,Female,2,1,Research Scientist,2,1261,1,No,12,3,1
35,No,Travel_Frequently,Research & Development,2,Medical,2,Female,3,2,Laboratory Technician,2,4425,5,No,11,3,6
35,No,Travel_Rarely,Sales,1,Marketing,3,Male,3,3,Sales Executive,2,7295,1,No,13,3,10
36,No,Non-Travel,Sales,1,Medical,4,Female,3,2,Sales Executive,4,6653,4,No,15,3,1
38,No,Travel_Rarely,Research & Development,2,Medical,4,Female,2,3,Manufacturing Director,3,7756,3,Yes,19,3,5
29,Yes,Travel_Frequently,Sales,24,Technical Degree,3,Male,4,1,Sales Representative,1,1091,1,No,17,3,1
50,Yes,Travel_Frequently,Sales,1,Other,4,Male,3,2,Sales Executive,3,4728,3,Yes,14,3,0
33,No,Non-Travel,Research & Development,1,Medical,2,Male,2,1,Laboratory Technician,3,2008,1,No,12,3,1
35,No,Travel_Rarely,Research & Development,16,Other,4,Female,2,2,Manufacturing Director,2,4788,0,Yes,11,3,3
26,Yes,Travel_Rarely,Sales,8,Technical Degree,4,Male,2,2,Sales Executive,1,5326,6,No,17,3,4
36,No,Travel_Rarely,Sales,2,Medical,2,Male,2,3,Sales Executive,3,7596,1,No,13,3,10
46,No,Travel_Frequently,Research & Development,18,Medical,1,Female,3,3,Healthcare Representative,3,10527,5,No,11,3,2
52,No,Travel_Frequently,Research & Development,28,Medical,4,Female,4,4,Manufacturing Director,3,13247,2,Yes,11,3,5
32,No,Travel_Frequently,Sales,10,Marketing,4,Male,3,2,Sales Executive,4,4648,8,No,13,3,0
32,No,Travel_Rarely,Research & Development,1,Life Sciences,2,Male,3,2,Research Scientist,2,6220,1,No,17,3,10
34,No,Travel_Rarely,Research & Development,6,Other,1,Female,3,2,Research Scientist,3,4809,1,No,14,3,16
34,Yes,Travel_Frequently,Sales,6,Marketing,4,Female,1,1,Sales Representative,3,2351,0,No,16,3,2
22,No,Non-Travel,Research & Development,26,Other,2,Female,2,1,Research Scientist,3,2814,1,Yes,14,3,4
20,Yes,Travel_Frequently,Sales,9,Marketing,4,Female,3,1,Sales Representative,4,2323,1,Yes,14,3,2
32,No,Non-Travel,Research & Development,1,Technical Degree,4,Male,3,2,Research Scientist,1,4087,4,No,14,3,6
44,Yes,Travel_Rarely,Research & Development,15,Medical,1,Female,3,3,Healthcare Representative,4,7978,1,No,11,3,10
44,No,Travel_Rarely,Research & Development,10,Other,4,Male,3,2,Healthcare Representative,4,6465,2,Yes,13,3,4
33,Yes,Travel_Rarely,Research & Development,14,Medical,3,Male,3,1,Laboratory Technician,4,2436,5,Yes,13,3,5
40,No,Travel_Rarely,Research & Development,2,Life Sciences,3,Female,3,1,Laboratory Technician,1,3377,4,No,17,3,4
31,Yes,Travel_Rarely,Sales,16,Marketing,1,Male,3,3,Sales Executive,3,8161,2,No,13,3,1
34,No,Travel_Rarely,Research & Development,7,Life Sciences,1,Female,3,3,Research Director,2,11994,0,No,11,3,12
41,No,Travel_Rarely,Research & Development,14,Life Sciences,1,Male,3,1,Research Scientist,3,2451,4,No,12,3,9
37,Yes,Travel_Rarely,Research & Development,11,Medical,1,Female,1,2,Healthcare Representative,2,4777,5,No,15,3,1
28,No,Travel_Rarely,Research & Development,21,Medical,3,Male,3,1,Research Scientist,4,2713,1,No,11,3,5
20,Yes,Travel_Rarely,Research & Development,11,Medical,4,Female,2,1,Research Scientist,1,2600,1,Yes,15,3,1
27,Yes,Travel_Frequently,Human Resources,22,Human Resources,1,Female,2,1,Human Resources,2,2863,1,No,12,3,1
47,No,Travel_Rarely,Sales,2,Life Sciences,2,Female,4,4,Manager,2,15972,6,No,14,3,3
56,Yes,Travel_Rarely,Research & Development,24,Life Sciences,1,Male,3,1,Laboratory Technician,4,2587,1,No,16,3,4
42,No,Non-Travel,Research & Development,21,Medical,3,Female,3,2,Manufacturing Director,3,5265,2,No,16,3,5
29,Yes,Travel_Rarely,Sales,23,Life Sciences,4,Female,2,3,Sales Executive,1,7336,1,No,13,3,11
24,No,Travel_Rarely,Research & Development,17,Medical,4,Female,2,2,Manufacturing Director,3,4377,1,No,15,3,4
45,Yes,Travel_Frequently,Sales,26,Life Sciences,1,Female,3,2,Sales Executive,1,4286,2,No,14,3,1
50,Yes,Travel_Rarely,Sales,3,Marketing,1,Male,2,1,Sales Representative,3,2683,1,Yes,14,3,3
31,Yes,Travel_Rarely,Research & Development,8,Life Sciences,1,Female,2,1,Research Scientist,2,1261,1,No,12,3,1
24,Yes,Travel_Rarely,Research & Development,1,Medical,2,Male,3,1,Research Scientist,4,2293,2,Yes,16,3,2
34,No,Travel_Rarely,Sales,21,Life Sciences,4,Male,4,2,Sales Executive,4,5337,1,No,12,3,10
27,Yes,Travel_Frequently,Human Resources,22,Human Resources,1,Female,2,1,Human Resources,2,2863,1,No,12,3,1
29,Yes,Travel_Rarely,Research & Development,8,Other,2,Male,1,1,Laboratory Technician,1,2119,1,Yes,11,3,7
28,Yes,Travel_Rarely,Research & Development,24,Life Sciences,3,Male,2,1,Laboratory Technician,3,2028,5,Yes,14,3,4
50,Yes,Travel_Rarely,Sales,3,Marketing,1,Male,2,1,Sales Representative,3,2683,1,Yes,14,3,3
30,No,Non-Travel,Research & Development,3,Life Sciences,3,Male,3,1,Laboratory Technician,4,2097,4,No,15,3,5
34,Yes,Travel_Rarely,Research & Development,6,Medical,2,Male,3,1,Research Scientist,1,2960,2,No,11,3,4
27,No,Travel_Rarely,Sales,10,Marketing,4,Female,2,2,Sales Executive,4,5769,1,Yes,11,3,6
36,Yes,Travel_Rarely,Research & Development,16,Life Sciences,3,Female,4,1,Laboratory Technician,1,2743,1,No,16,3,17
43,No,Travel_Rarely,Research & Development,11,Life Sciences,1,Male,3,3,Healthcare Representative,3,7510,1,No,17,3,10
24,Yes,Travel_Rarely,Human Resources,22,Human Resources,4,Male,1,1,Human Resources,3,1555,1,No,11,3,1
40,Yes,Travel_Rarely,Research & Development,9,Life Sciences,4,Male,3,1,Laboratory Technician,1,2018,3,No,14,3,5
48,No,Travel_Rarely,Sales,7,Marketing,3,Male,3,2,Sales Executive,1,5486,4,No,11,3,2
20,Yes,Travel_Frequently,Sales,9,Marketing,4,Female,3,1,Sales Representative,4,2323,1,Yes,14,3,2
38,No,Travel_Frequently,Research & Development,6,Life Sciences,1,Male,2,2,Manufacturing Director,3,5321,2,No,11,3,8
26,Yes,Travel_Rarely,Sales,8,Technical Degree,4,Male,2,2,Sales Executive,1,5326,6,No,17,3,4
31,Yes,Travel_Frequently,Sales,26,Marketing,1,Male,3,2,Sales Executive,4,5617,1,Yes,11,3,10
22,No,Non-Travel,Research & Development,16,Medical,4,Male,4,1,Laboratory Technician,4,2935,1,Yes,13,3,1
33,No,Travel_Rarely,Research & Development,15,Medical,2,Female,3,2,Healthcare Representative,4,4878,0,Yes,13,3,9
52,No,Travel_Rarely,Research & Development,2,Life Sciences,3,Female,2,1,Laboratory Technician,4,3212,7,No,15,3,2
32,No,Travel_Rarely,Research & Development,2,Medical,3,Female,3,1,Laboratory Technician,2,2370,1,No,13,3,8
42,No,Non-Travel,Human Resources,2,Medical,4,Male,4,2,Human Resources,1,6272,7,No,16,3,4
38,No,Travel_Rarely,Sales,10,Marketing,3,Male,2,3,Sales Executive,3,8740,0,Yes,14,3,8
57,No,Travel_Rarely,Sales,29,Marketing,1,Male,2,4,Manager,4,14118,3,No,12,3,1
28,Yes,Travel_Rarely,Research & Development,2,Medical,1,Male,1,1,Research Scientist,4,3464,5,Yes,13,3,3
25,No,Travel_Rarely,Sales,3,Other,3,Male,3,2,Sales Executive,1,4194,1,Yes,18,3,5
28,Yes,Travel_Rarely,Research & Development,12,Life Sciences,3,Female,3,1,Laboratory Technician,4,2515,1,Yes,11,3,1
45,No,Travel_Rarely,Research & Development,2,Other,4,Female,2,2,Manufacturing Director,4,5770,1,No,19,3,10
28,No,Travel_Rarely,Research & Development,1,Life Sciences,1,Male,2,1,Research Scientist,3,1563,1,No,14,3,1
38,Yes,Travel_Rarely,Research & Development,2,Medical,3,Male,3,2,Manufacturing Director,2,4855,4,No,11,3,5
47,Yes,Travel_Frequently,Sales,27,Life Sciences,2,Female,4,2,Sales Executive,3,6397,4,Yes,12,3,5
50,Yes,Travel_Rarely,Sales,3,Marketing,1,Male,2,1,Sales Representative,3,2683,1,Yes,14,3,3
40,No,Travel_Rarely,Sales,4,Marketing,3,Male,2,3,Sales Executive,4,10855,7,No,11,3,12
26,Yes,Travel_Frequently,Research & Development,2,Life Sciences,1,Male,3,1,Research Scientist,1,2042,6,Yes,14,3,3
21,Yes,Travel_Rarely,Research & Development,10,Life Sciences,3,Female,2,1,Laboratory Technician,1,1416,1,No,13,3,1
47,Yes,Non-Travel,Research & Development,29,Life Sciences,1,Male,3,3,Manager,2,11849,1,Yes,12,3,10
29,Yes,Travel_Rarely,Research & Development,1,Technical Degree,1,Male,2,1,Research Scientist,1,2362,6,No,13,3,9
32,No,Non-Travel,Research & Development,15,Medical,3,Female,3,2,Healthcare Representative,4,6667,5,No,18,3,5
33,No,Travel_Frequently,Research & Development,1,Other,3,Female,4,2,Healthcare Representative,2,5488,1,Yes,13,3,6
40,No,Travel_Rarely,Research & Development,19,Medical,3,Male,3,2,Laboratory Technician,4,2741,8,Yes,15,3,7
25,Yes,Travel_Rarely,Sales,5,Marketing,3,Male,2,2,Sales Executive,3,5744,1,Yes,11,3,6
23,Yes,Travel_Rarely,Research & Development,8,Medical,4,Male,2,1,Laboratory Technician,3,3989,1,Yes,11,3,5
35,No,Travel_Rarely,Research & Development,25,Other,1,Male,2,2,Laboratory Technician,4,3681,4,No,14,3,3
33,Yes,Travel_Rarely,Research & Development,1,Other,4,Male,3,1,Research Scientist,4,2686,1,Yes,13,3,10
46,Yes,Travel_Rarely,Sales,9,Medical,3,Male,2,3,Sales Executive,4,9619,1,No,16,3,9
39,No,Travel_Frequently,Sales,20,Life Sciences,3,Male,3,2,Sales Executive,4,4127,2,No,18,3,2
28,Yes,Travel_Rarely,Research & Development,17,Technical Degree,3,Male,2,1,Laboratory Technician,4,2367,5,No,12,3,4
26,Yes,Travel_Rarely,Research & Development,16,Medical,1,Male,3,1,Laboratory Technician,2,2373,2,Yes,13,3,3
29,Yes,Travel_Rarely,Research & Development,8,Other,2,Male,1,1,Laboratory Technician,1,2119,1,Yes,11,3,7
49,No,Travel_Rarely,Research & Development,1,Technical Degree,3,Female,3,1,Research Scientist,1,3580,2,No,16,3,4
34,No,Travel_Rarely,Research & Development,9,Medical,4,Female,2,3,Healthcare Representative,2,8621,1,No,14,3,8
40,No,Travel_Rarely,Sales,14,Life Sciences,4,Female,3,2,Sales Executive,1,4639,1,No,15,3,5
37,No,Travel_Rarely,Sales,2,Marketing,4,Male,3,2,Sales Executive,3,9602,4,Yes,11,3,3
49,No,Travel_Rarely,Research & Development,6,Life Sciences,3,Female,2,4,Healthcare Representative,3,13966,2,Yes,19,3,15
18,No,Non-Travel,Research & Development,14,Medical,2,Female,3,1,Research Scientist,3,1514,1,No,16,3,0
53,Yes,Travel_Rarely,Sales,24,Life Sciences,1,Male,3,3,Sales Executive,1,10448,6,Yes,13,3,2
29,No,Travel_Rarely,Research & Development,15,Life Sciences,2,Female,1,1,Research Scientist,4,2168,0,Yes,18,3,5
43,No,Travel_Frequently,Research & Development,10,Life Sciences,3,Female,2,2,Laboratory Technician,3,5257,1,No,11,3,9
23,No,Travel_Rarely,Research & Development,9,Medical,2,Male,3,1,Laboratory Technician,1,2500,1,No,14,3,4
60,No,Travel_Rarely,Sales,16,Marketing,1,Male,3,2,Sales Executive,1,5405,8,No,14,3,2
21,Yes,Travel_Rarely,Sales,7,Marketing,2,Male,3,1,Sales Representative,2,2679,1,No,13,3,1
47,Yes,Travel_Frequently,Sales,27,Life Sciences,2,Female,4,2,Sales Executive,3,6397,4,Yes,12,3,5
54,No,Travel_Rarely,Research & Development,17,Technical Degree,3,Female,3,3,Manufacturing Director,3,10739,8,No,11,3,10
39,No,Travel_Rarely,Research & Development,6,Life Sciences,2,Female,3,3,Manufacturing Director,2,8376,4,No,18,3,2
40,Yes,Non-Travel,Sales,24,Life Sciences,2,Female,4,4,Sales Executive,2,13194,4,Yes,16,3,1
24,Yes,Travel_Rarely,Research & Development,17,Life Sciences,4,Female,3,1,Laboratory Technician,2,2210,1,No,13,3,1
22,No,Travel_Rarely,Research & Development,15,Medical,2,Female,3,1,Laboratory Technician,4,2871,1,No,15,3,0
41,No,Travel_Rarely,Research & Development,5,Life Sciences,2,Male,4,2,Healthcare Representative,2,6870,3,No,12,3,3
25,Yes,Travel_Rarely,Research & Development,3,Medical,1,Male,3,1,Laboratory Technician,1,4031,5,No,13,3,2
23,Yes,Travel_Rarely,Research & Development,8,Medical,4,Male,2,1,Laboratory Technician,3,3989,1,Yes,11,3,5
40,Yes,Non-Travel,Sales,24,Life Sciences,2,Female,4,4,Sales Executive,2,13194,4,Yes,16,3,1
39,No,Travel_Rarely,Sales,21,Life Sciences,1,Male,2,2,Sales Executive,4,6120,3,Yes,12,3,5
29,No,Travel_Frequently,Sales,2,Life Sciences,2,Male,3,2,Sales Executive,4,4554,1,No,18,3,10
33,No,Travel_Frequently,Research & Development,5,Life Sciences,4,Female,3,3,Manager,2,11878,6,No,11,3,10
44,Yes,Travel_Rarely,Research & Development,3,Life Sciences,1,Male,3,1,Laboratory Technician,1,2362,4,No,12,3,3
29,Yes,Travel_Rarely,Research & Development,18,Medical,3,Male,2,1,Research Scientist,4,2389,1,Yes,13,3,4
37,No,Travel_Rarely,Research & Development,11,Medical,1,Female,3,1,Laboratory Technician,3,3629,4,No,18,3,3
44,Yes,Travel_Rarely,Research & Development,10,Life Sciences,3,Male,3,1,Research Scientist,3,2936,1,Yes,11,3,6
28,Yes,Travel_Frequently,Research & Development,1,Medical,1,Male,2,1,Laboratory Technician,2,2596,1,No,15,3,1
59,No,Travel_Frequently,Sales,1,Life Sciences,1,Female,2,2,Sales Executive,3,5473,7,No,11,3,4
37,No,Non-Travel,Research & Development,5,Technical Degree,3,Male,4,1,Laboratory Technician,3,3500,0,No,14,3,6
55,No,Travel_Rarely,Research & Development,22,Technical Degree,1,Male,2,1,Research Scientist,2,3537,5,No,12,3,4
26,Yes,Travel_Frequently,Human Resources,17,Life Sciences,2,Female,3,1,Human Resources,3,2741,0,Yes,11,3,7
25,Yes,Travel_Rarely,Research & Development,3,Medical,1,Male,3,1,Laboratory Technician,1,4031,5,No,13,3,2
50,Yes,Travel_Frequently,Sales,1,Life Sciences,2,Male,3,2,Sales Executive,3,6728,7,No,12,3,6
44,Yes,Travel_Frequently,Research & Development,1,Medical,3,Male,3,1,Research Scientist,2,2342,1,Yes,12,3,5
35,No,Travel_Rarely,Research & Development,8,Life Sciences,4,Male,4,1,Laboratory Technician,4,2269,1,No,19,3,1
29,No,Travel_Rarely,Research & Development,19,Technical Degree,4,Male,3,2,Manufacturing Director,4,4262,4,No,12,3,3
36,Yes,Travel_Rarely,Research & Development,9,Medical,4,Male,2,1,Research Scientist,3,3388,0,Yes,17,3,1
42,No,Travel_Frequently,Research & Development,26,Medical,1,Female,3,3,Research Director,1,13191,3,Yes,17,3,1
30,Yes,Travel_Rarely,Research & Development,3,Technical Degree,4,Female,3,1,Research Scientist,1,2657,5,Yes,11,3,5
38,No,Travel_Frequently,Human Resources,1,Other,4,Male,3,1,Human Resources,2,2991,0,Yes,11,3,6
51,No,Travel_Frequently,Research & Development,6,Medical,2,Female,2,1,Laboratory Technician,3,2838,0,No,14,3,7
30,No,Travel_Rarely,Sales,7,Marketing,4,Male,3,1,Sales Representative,2,2983,0,No,14,3,3
28,Yes,Travel_Rarely,Research & Development,24,Medical,3,Male,3,1,Laboratory Technician,2,2408,1,Yes,17,3,1
34,Yes,Travel_Frequently,Sales,6,Marketing,4,Female,1,1,Sales Representative,3,2351,0,No,16,3,2
36,Yes,Travel_Rarely,Research & Development,16,Life Sciences,3,Female,4,1,Laboratory Technician,1,2743,1,No,16,3,17
26,Yes,Travel_Rarely,Research & Development,24,Technical Degree,3,Male,1,1,Laboratory Technician,4,2340,1,Yes,18,3,1
25,Yes,Travel_Rarely,Research & Development,4,Technical Degree,4,Male,3,1,Laboratory Technician,4,3691,1,Yes,15,3,7
34,No,Travel_Frequently,Research & Development,19,Medical,3,Female,3,2,Laboratory Technician,2,4444,4,No,13,3,11
31,No,Travel_Rarely,Research & Development,20,Life Sciences,2,Male,3,2,Laboratory Technician,3,4197,1,No,11,3,10
29,Yes,Travel_Frequently,Research & Development,14,Other,3,Female,3,3,Healthcare Representative,4,7553,0,Yes,12,3,8
27,Yes,Travel_Frequently,Human Resources,22,Human Resources,1,Female,2,1,Human Resources,2,2863,1,No,12,3,1
29,Yes,Travel_Rarely,Research & Development,1,Life Sciences,2,Female,2,1,Laboratory Technician,1,2319,1,Yes,11,3,1
37,Yes,Travel_Rarely,Sales,1,Life Sciences,1,Male,2,3,Sales Executive,3,10609,5,No,11,3,14
31,Yes,Travel_Frequently,Sales,2,Life Sciences,3,Female,2,1,Sales Representative,4,2785,7,No,14,3,1
29,No,Travel_Rarely,Sales,3,Medical,2,Female,3,2,Sales Executive,3,5561,1,No,14,3,6
40,Yes,Travel_Rarely,Research & Development,7,Life Sciences,1,Male,3,1,Laboratory Technician,1,2166,3,Yes,14,3,4
32,No,Non-Travel,Sales,2,Life Sciences,3,Female,3,1,Sales Representative,1,2827,1,No,12,3,1
38,No,Travel_Frequently,Research & Development,7,Life Sciences,4,Male,4,1,Research Scientist,3,2610,1,No,11,3,4
49,No,Travel_Rarely,Research & Development,5,Technical Degree,1,Male,3,2,Healthcare Representative,3,6651,2,No,14,3,3
31,No,Travel_Rarely,Research & Development,26,Life Sciences,1,Male,3,1,Research Scientist,3,2911,1,No,17,3,5
37,Yes,Travel_Rarely,Research & Development,10,Medical,4,Male,3,2,Manufacturing Director,1,4213,1,No,15,3,10
27,No,Travel_Rarely,Research & Development,9,Medical,4,Female,3,1,Research Scientist,2,2279,1,No,16,3,7
52,No,Travel_Rarely,Research & Development,7,Life Sciences,2,Male,3,3,Healthcare Representative,2,10445,7,No,19,3,8
33,No,Travel_Rarely,Research & Development,8,Life Sciences,4,Male,3,2,Healthcare Representative,3,6388,2,Yes,17,3,0
40,Yes,Travel_Rarely,Research & Development,9,Life Sciences,4,Male,3,1,Laboratory Technician,1,2018,3,No,14,3,5
40,No,Travel_Rarely,Sales,2,Marketing,2,Female,3,2,Sales Executive,2,5677,3,No,14,3,11
37,No,Travel_Rarely,Research & Development,6,Medical,3,Male,4,2,Research Scientist,1,5974,4,Yes,13,3,7
32,No,Travel_Frequently,Research & Development,24,Life Sciences,1,Male,3,2,Laboratory Technician,4,5309,1,No,15,3,10
48,No,Travel_Rarely,Research & Development,4,Life Sciences,4,Male,3,3,Manufacturing Director,4,7898,1,No,11,3,10
33,No,Travel_Frequently,Research & Development,1,Life Sciences,1,Female,3,3,Research Director,4,13458,1,Yes,12,3,15
38,No,Travel_Rarely,Research & Development,4,Medical,4,Female,3,1,Laboratory Technician,3,3306,7,No,19,3,0
36,No,Travel_Rarely,Sales,3,Medical,1,Female,2,3,Sales Executive,4,7644,0,No,19,3,9
27,No,Travel_Rarely,Sales,11,Medical,3,Female,4,1,Sales Representative,4,2534,8,No,14,3,1
27,Yes,Travel_Frequently,Human Resources,22,Human Resources,1,Female,2,1,Human Resources,2,2863,1,No,12,3,1
24,No,Travel_Rarely,Research & Development,9,Medical,3,Male,4,1,Research Scientist,3,4401,1,No,16,3,5
41,No,Non-Travel,Sales,10,Life Sciences,4,Male,3,2,Sales Executive,4,6230,7,No,14,3,14
52,No,Travel_Rarely,Research & Development,3,Medical,4,Male,2,3,Manufacturing Director,3,7969,2,Yes,14,3,5
